/ d 755 4096 0 0 5 24 6 46
bin d 755 4096 0 0 6 1 1 22 /
dev d 755 4096 0 0 6 1 1 23 /
lib64 d 755 4096 0 0 6 1 1 23 /
mnt d 755 4096 0 0 6 1 1 23 /
root d 700 4096 0 0 6 1 1 23 /
snap d 755 4096 0 0 6 1 1 23 /
sys d 755 4096 0 0 6 1 1 23 /
var d 755 4096 0 0 6 1 1 23 /
boot d 755 4096 0 0 6 1 1 23 /
etc d 755 4096 0 0 6 1 1 23 /
lost+found d 700 4096 0 0 6 1 1 23 /
opt d 755 4096 0 0 6 1 1 23 /
run d 755 4096 0 0 6 1 1 23 /
srv d 755 4096 0 0 6 1 1 23 /
cdrom d 755 4096 0 0 6 1 1 24 /
home d 755 4096 0 0 6 1 1 24 /
lib d 755 4096 0 0 6 1 1 24 /
media d 755 4096 0 0 6 1 1 24 /
proc d 755 4096 0 0 6 1 1 24 /
sbin d 755 4096 0 0 6 1 1 24 /
usr d 755 4096 0 0 6 1 1 24 /
tmp d 666 16 1000 1000 6 10 3 3 /
b d 755 4096 0 0 6 28 17 59 /
os d 755 4096 1000 1000 6 1 1 25 /
rae d 755 4096 1001 1001 6 1 1 25 /
.cache d 700 4096 1000 1000 6 1 1 28 /
.config d 700 4096 1000 1000 6 1 1 28 /
.gnupg d 700 4096 1000 1000 6 1 1 29 /
.local d 700 4096 1000 1000 6 1 1 29 /
공개 d 755 4096 1000 1000 6 1 1 29 /
다운로드 d 755 4096 1000 1000 6 1 1 29 /
문서 d 755 4096 1000 1000 6 1 1 29 /
바탕화면 d 755 4096 1000 1000 6 1 1 29 /
비디오 d 755 4096 1000 1000 6 1 1 30 /
사진 d 755 4096 1000 1000 6 1 1 30 /
음악 d 755 4096 1000 1000 6 1 1 31 /
템플릿 d 755 4096 1000 1000 6 1 1 31 /
hello.txt f 644 7 1000 1000 5 24 22 17 /
hello f 666 16 0 0 6 10 3 3 /
qwerqwer d 700 4096 0 0 5 30 17 20 /
qwer d 744 4096 0 0 5 30 17 20 /
qwer f 644 0 0 0 5 30 17 23 /
fi.txt f 644 22 0 0 6 7 2 19 /
123.txt f 644 9 0 0 5 20 23 3 /
1234.txt f 644 17 0 0 5 20 21 21 /
12 f 644 20 0 0 5 20 22 19 /
12.txt f 644 19 0 0 5 20 22 20 /
kim f 777 24 0 0 5 16 17 33 /qwer
kim d 777 4096 0 0 5 16 17 34 /qwer
ss d 777 4096 0 0 5 16 17 34 /qwer/kim
